SOURCE,DESTINATION
4f31ac7ad219e5040000000f,6029bdc61a36bf00120e6af7
4f3c61a59bed2c000000000c,5ec1d57121db63000e3a58d2
4f5101737b330a0100000c09,6276de68b6c62f00124bf528
4f6a4caec209c30100002482,5c53d091aab515000fa89c7d
4fa427204e8fa30100005047,5fa44d7998f2540013febb73
4fa84798f3e6350100006c06,603d8edf42f1120013addb04
4faefa44eb3ea60100027373,61ef3e0273df0c0013b6f945
4fc54cd0d70045010003a30b,5e72eb6330da56000eb4343e
4fcce9fb5ed0150100015ab6,5c4eb73f45eb9a000f3a4e41
4fea39f01160e20100000299,5cd49d5f00923e000ef99dd2
4ffb2e07d09aa80100002281,5e7946bd387fb5000e6db94d
4ffb2e07d09aa80100002281,5e725cd81a062f000e1f551a
4ffb2e07d09aa80100002281,5e7d24fdd146f8000ea123c1
4ffb2e07d09aa80100002281,5e810be20d9715000ece4678
4ffb2e07d09aa80100002281,5e72e77009c323000e1a5b06
5006d4b97c0edc020001fdd7,5bcbcaf060b93e000facb58f
5006d4b97c0edc020001fdd7,5bcbcaf060b93e000facb58f
50072b8a085610020000307d,5f0e1fa564bf2a001365401b
50072b8a085610020000307d,5dc4a0fcc0cd26000e67a7f6
50072b8a085610020000307d,5d21435946c8db000e055333
50129b30457ea802000a710e,612da66dfee5af0012d04c66
50171f59e320ff0200081040,5d1916d29383e5000e38c264
501726f2eb69f9020008e5b7,618f39b579c79600130e4053
501726f2eb69f9020008e5b7,6160be38508ff600135dfc3c
50194dc2ebb3ef020003d6a7,600f18406c690e00123a75ef
50194dc2ebb3ef020003d6a7,639125646efd4300124d0dd4
501971d370c7ff0200007913,5ecff43b1de36c000f28dc75
501a2321068b5402000378d3,5f936a720a74cb0013224f45
501adf8974338c0200064744,5e5b33ac5692b1000e0a09b3
501bf5e7bcf57502000546ee,5f3df015eb2b720013b08711
5029d1f0ebf2d60200000007,5e6ff03ede9962000e7f5651
5032cbdf402dbe020000000a,5e509e6994934b000eed8ce0
50423f4e1eb87f0200001dc0,606d1c47e403b10012729ce4
504a311e11d7f102000000ab,5c5132b2524921000fb98b5f
5057471f10ed810200001423,5fa1d148231ddc0013557824
5058d066f4f08f020000000d,619afb8f5dda67001339ac9d
505a6cbcd022e30200000039,5c7a213a49ed55000fa17fcc
505a6cbcd022e30200000039,61d5366804d5eb001298bff5
505b511154b730020000000c,619422062684af00132db1dd
505b511154b730020000000c,60621e65a1d7850014761fcb
505bef9db256e102000000c0,604af757f61b1900126acee2
506622e32c2a07020000009a,612c2f30d914ce0013540f2c
5067ca016374bc020000000d,5e88cb5ec29fb4000e165492
506b8a3de60009020000000d,645d45600704270012a897f7
506b8a3de60009020000000d,6176e938fb4668001210348d
506ca90f3e270702000001b0,5c7ec7917ca804000f72822c
50788fb6fd6e8002000003cf,5f6780eacd8c1f00133c13f3
508050b97dd4560200000056,613ed7711122b100130bd7ec
509013e74e8d9a02000000eb,5fefa857ba0ec1001246716f
50906c5ad8854c0200000195,60b028dc47fecd00124aa11d
50906c5ad8854c0200000195,5d182c7c815a87000e9faca5
50908691d136890200000177,5cfd744945e697000e6c1278
509330c9c9c12b0200000022,5d49bafe0eabf0000e23ad8b
509330c9c9c12b0200000022,5ce1b8123db6b3000e8cdd90
5096f0d72526000200000bcd,5f179e58c99d8f0013e15d86
50a95ac8e606a1020000004a,5dddd4c06f2212000ef13e86
50a9b2c719067302000000b7,5f1a142eb808c20013f5d4a5
50ab251f48f486020000001f,604a946979f9380012fd2209
50b12e8a15007702000000c3,5d87e9a74905e8000e147de2
50bc226b77cd310200000078,5dc2f6c38233b6000e05d52b
50be7244e72f09020000014f,64379895c040e10012851f8f
50c2c9adc663a8020000001c,5f42ec1495963e001375a0b5
50c2c9adc663a8020000001c,5f6a3a0b4ed3a40013fd2967
50c61df4d8bade0200000275,5fb49a55930fbf0013b6a996
50c61df4d8bade0200000275,60874c3894c71d0012c008f2
50fc4ab09ffa620200000112,5eac9fe854ba0c000e62f754
50fc4ab09ffa620200000112,5e095a27b1044d000e90a5a5
50fc4ab09ffa620200000112,5e0cef2c422f23000e409ccf
51096ca579cd6f02000010bc,5fcade78f8997700132439a5
51096ca579cd6f02000010bc,640e02547ab7180011236d03
5109cc63de9dc802000001b5,5e9f9d7ed875c2000e8ccaa9
510e084d2c48130200000106,5da7ecae6d93a5000e1ee3e7
510ec09722b820020000045b,5e6aa38f4f893f000ee499ce
510ec09722b820020000045b,5d3dd906d3b28e000e02aa53
5119308ab85c57020000a19b,5e7d29f5a86ef5000e58b086
512d248390032e0200001d9c,6197e77b026afa00138945b7
512f1458a2decd020000ab77,5d45fda30d9747000eab3945
512face07268090200000b97,5e1d441b90cf27000eb802d1
512fbdf349a5ab0200002faf,5d570d15cfc317000ff96954
512fd7ddeccbd20200000a18,5fac0eb6998c050013286698
512fd80709e63c0200000b85,5d5b2c7bed57b8000e7c1d79
512fd80709e63c0200000b85,5caa464f1e45f5000ec7815d
512fec1cfe144b02000012e1,5e857ad8d360a1000e01be64
5130515edae4ca020001dfd2,61de0690b2c30d0013d69629
5131ab5a1139f1020002495d,5f13a92e9c812c0013c06a76
51325394b0a64b020001531e,5f15ff831cbf580013d3f322
513504e3b46ed20200000d04,5e820b70945760000efa9b46
513511c8cd3c580200001898,5c57a735f1f31a000fd85b1d
513511c8cd3c580200001898,5c4a66bc802aef000f7db4cb
51357af689162c020000bfa1,60185e48c21063001207da6f
5137a3f5438b5a0200003061,5eb9caf03fb9f1000e1b7b4b
51394c8e0cfb540200002d6b,5a41f11798e01a000b94785f
513afe5bedaced020004d406,62853020a335f8001292e536
513e2161c20d4302000ab8e6,5e8cc2157ded41000f119448
513e34a39c16c50200000e10,5fa5a0e45baf470013b7ce2b
513e3a7d9c16c502000060ac,6138f5a180e78700131d3348
5140b2300c8a1602000aaa2f,61e9a267b4be770013362e1c
5141fef1e9111c02000b15e0,5f42f18b95ff83001332f421
